log_path,job_name,sample_id,is_failed,mem_gb_snakemake,cpu_snakemake,mem_gb_req,time_sec_req,time_sec_total,Eff,start_time
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/2207062369_S64_ardetype.agrvate.o2280645,agrvate_saureus,2207062369_S64,0.0,2.6015625,1.0,2.9296875,600.0,2.0,0.33,2022:08:19-22:04:12
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/2207054893_S50_ardetype.mlst.o2286918,mlst,2207054893_S50,0.0,2.5009765625,4.0,5.859375,600.0,3.0,0.5,2022:08:31-19:50:17
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/EQA-S0004_S1_ardetype.seqsero.o2287308,seqsero_senterica,EQA-S0004_S1,0.0,3.478515625,12.0,17.578125,600.0,209.0,34.83,2022:08:31-21:00:18
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/S-5177_S30_ardetype.mob_recon.o2280222,mob_recon,S-5177_S30,0.0,2.953125,1.0,11.71875,600.0,98.0,16.33,2022:08:19-19:00:14
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/2208051526_S2_ardetype.amrpp.o2316591,amrpp,2208051526_S2,0.0,4.1455078125,24.0,36.62109375,37800.0,2467.0,6.53,2022:09:19-15:39:41
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/EQA-AST-C0004_S15_ardetype.mob_recon.o2280398,mob_recon,EQA-AST-C0004_S15,0.0,2.94921875,1.0,11.71875,600.0,42.0,7.0,2022:08:19-19:18:39
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/2207015137_S63_ardetype.contig_assembly.o2278940,contig_assembly,2207015137_S63,1.0,3.859375,5.0,46.875,36000.0,228.0,0.63,2022:08:17-15:16:07
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/2207036943_S40_ardetype.extract_fastp.o2287609,extract_fastp,2207036943_S40,0.0,0.9765625,1.0,2.9296875,120.0,0.0,0.0,2022:08:31-21:36:57
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/22034353_S35_ardetype.quast.o2317626,quast,22034353_S35,0.0,2.494140625,1.0,4.8828125,1800.0,2.0,0.11,2022:09:19-18:05:53
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/2208036499_S28_ardetype.classify_reads.o2294779,classify_reads,2208036499_S28,0.0,3.234375,1.0,251.953125,7200.0,627.0,8.71,2022:09:05-15:40:30
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/2208033000_S19_ardetype.extract_mlst.o2302760,extract_mlst,2208033000_S19,0.0,0.9765625,1.0,2.9296875,120.0,0.0,0.0,2022:09:08-11:17:37
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/2207054846_S66_ardetype.quast.o2280361,quast,2207054846_S66,0.0,2.4990234375,1.0,4.8828125,1800.0,2.0,0.11,2022:08:19-19:13:51
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/2208069181_S31_ardetype.classify_contigs.o2314444,classify_contigs,2208069181_S31,0.0,1.42578125,12.0,251.953125,9000.0,5.0,0.06,2022:09:17-20:13:25
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/22034353_S35_ardetype.amrpp.o2316564,amrpp,22034353_S35,0.0,3.08203125,9.0,36.62109375,37800.0,2636.0,6.97,2022:09:19-14:18:31
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/8580_S26_ardetype.classify_contigs.o2284089,classify_contigs,8580_S26,0.0,1.4267578125,16.0,251.953125,9000.0,5.0,0.06,2022:08:29-16:05:13
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/8496_S24_ardetype.classify_reads.o2283468,classify_reads,8496_S24,0.0,4.25390625,13.0,251.953125,7200.0,775.0,10.76,2022:08:29-12:44:02
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/2208095308_S54_ardetype.quast.o2317874,quast,2208095308_S54,0.0,2.498046875,1.0,4.8828125,1800.0,3.0,0.17,2022:09:19-18:19:54
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/8496_S24_ardetype.ectyper.o2280623,ectyper_ecoli,8496_S24,0.0,1.8642578125,1.0,9.765625,600.0,5.0,0.83,2022:08:19-21:58:11
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/8845_S27_ardetype.resfinder.o2280321,resfinder,8845_S27,0.0,2.5361328125,1.0,11.71875,600.0,13.0,2.17,2022:08:19-19:09:51
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/2207066897_S7_ardetype.pasteur_cgmlst.o2302683,pasteur_cgmlst_ecoli,2207066897_S7,0.0,0.9765625,1.0,4.8828125,900.0,318.0,35.33,2022:09:08-11:00:24
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/2207080961_S8_ardetype.amrpp.o2298199,amrpp,2207080961_S8,0.0,1.80859375,17.0,36.62109375,37800.0,794.0,2.1,2022:09:06-12:32:03
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/8938_S28_ardetype.contig_assembly.o2283987,contig_assembly,8938_S28,1.0,4.8056640625,12.0,46.875,36000.0,322.0,0.89,2022:08:29-15:14:33
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/EQA2225_ardetype.mob_typer.o2321173,mob_typer,EQA2225,0.0,2.962890625,1.0,11.71875,1800.0,213.0,11.83,2022:09:20-09:51:57
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/22034353_S35_ardetype.extract_kraken2.o2321502,extract_kraken2,22034353_S35,0.0,0.9765625,1.0,2.9296875,120.0,0.0,0.0,2022:09:20-12:00:45
